year,province,gdp
1980,宁夏,16.0
1980,新疆,53.2
1981,北京,139.2
1981,天津,108.0
1981,河北,222.5
1981,山西,121.7
1981,内蒙古,77.9
1981,辽宁,288.6
1981,吉林,111.2
1981,黑龙江,228.3
1981,上海,324.8
1981,江苏,350.0
1981,浙江,204.9
1981,安徽,170.5
1981,福建,105.6
1981,江西,121.3
1981,山东,346.6
1981,河南,249.7
1981,湖北,219.8
1981,湖南,209.7
1981,广东,290.4
1981,广西,113.5
1981,海南,22.2
1981,重庆,97.2
1981,四川,242.3
1981,贵州,67.9
1981,云南,94.1
1981,西藏,10.4
1981,陕西,102.1
1981,甘肃,70.9
1981,青海,17.5
1981,宁夏,17.4
1981,新疆,59.4
1982,北京,154.9
1982,天津,114.1
1982,河北,251.5
1982,山西,139.2
1982,内蒙古,93.2
1982,辽宁,315.1
1982,吉林,121.7
1982,黑龙江,248.4
1982,上海,337.1
1982,江苏,390.2
1982,浙江,234.0
1982,安徽,187.0
1982,福建,117.8
1982,江西,134.0
1982,山东,395.4
1982,河南,263.3
1982,湖北,241.6
1982,湖南,232.5
1982,广东,339.9
1982,广西,129.2
1982,海南,28.9
1982,重庆,108.1
1982,四川,275.2
1982,贵州,79.4
1982,云南,110.1
1982,西藏,10.2
1982,陕西,112.0
1982,甘肃,76.9
1982,青海,20.0
1982,宁夏,18.2
1982,新疆,65.2
1983,北京,183.1
1983,天津,123.4
1983,河北,283.2
1983,山西,155.1
1983,内蒙古,105.9
1983,辽宁,364.0
1983,吉林,150.1
1983,黑龙江,276.9
1983,上海,351.8
1983,江苏,437.7
1983,浙江,257.1
1983,安徽,215.7
1983,福建,127.8
1983,江西,144.1
1983,山东,459.8
1983,河南,328.0
1983,湖北,262.6
1983,湖南,257.4
1983,广东,368.8
1983,广西,134.6
1983,海南,31.1
1983,重庆,120.0
1983,四川,311.0
1983,贵州,87.4
1983,云南,120.1
1983,西藏,10.3
1983,陕西,123.4
1983,甘肃,91.5
1983,青海,22.5
1983,宁夏,20.8
1983,新疆,78.6
1984,北京,216.6
1984,天津,147.5
1984,河北,332.2
1984,山西,197.4
1984,内蒙古,128.2
1984,辽宁,438.2
1984,吉林,174.4
1984,黑龙江,318.3
1984,上海,390.9
1984,江苏,518.9
1984,浙江,323.3
1984,安徽,265.7
1984,福建,157.1
1984,江西,169.1
1984,山东,581.6
1984,河南,370.0
1984,湖北,328.2
1984,湖南,287.3
1984,广东,458.7
1984,广西,150.3
1984,海南,37.2
1984,重庆,141.6
1984,四川,358.1
1984,贵州,108.3
1984,云南,139.6
1984,西藏,13.7
1984,陕西,149.4
1984,甘肃,103.2
1984,青海,26.4
1984,宁夏,24.8
1984,新疆,89.8
1985,北京,257.1
1985,天津,175.8
1985,河北,396.8
1985,山西,219.0
1985,内蒙古,163.8
1985,辽宁,518.6
1985,吉林,200.4
1985,黑龙江,355.0
1985,上海,466.8
1985,江苏,651.8
1985,浙江,429.2
1985,安徽,331.2
1985,福建,200.5
1985,江西,207.9
1985,山东,680.5
1985,河南,451.7
1985,湖北,396.3
1985,湖南,350.0
1985,广东,577.4
1985,广西,181.0
1985,海南,43.3
1985,重庆,164.3
1985,四川,421.2
